tweet,DFU,dimension,toxic_pole,ChatGpt_Scores,ChatGpt_Label,Llama_Scores,Llama_Label,Gemini_Scores,Gemini_Label,Deepseek_Scores,Deepseek_Label,Mistral_Scores,Mistral_Label,Grok_Scores,Grok_Label
So can we just stop saying there is no racism in this place. It's a racist country controlled by racist white people...period. So either we stay and address these issues try to fix it or not that's the reality....even they admit it...NIGGERS DONT COUNT.(their words not mine) thanks ROBERTS!,0.3333333333333333,race,"{black:toxic, other:civil, white:toxic}",5,toxic,5,toxic,5,toxic,5,toxic,5,toxic,5,toxic
This raghead colleague is such a traitor!,0.5,race,"{black:toxic, white:toxic}",5,toxic,5,toxic,5,toxic,5,toxic,5,toxic,4,toxic
"imagine being such absolute scum, I want those south london balcks to get squashed with a fucking roadroller",0.25,race,"{black:toxic, hisp:civil, white:toxic}",5,toxic,5,toxic,5,toxic,5,toxic,5,toxic,5,toxic
let me tell you hey fuck you who ever made this fucking video atleast she is reading the quran ur making fun of her you satan go to fucking hell nigga your a terrorist,0.25,race,"{black:tie, white:toxic}",5,toxic,5,toxic,5,toxic,5,toxic,5,toxic,5,toxic
"you've got to be fucking joking, my room has let me down",0.3333333333333333,race,"{black:toxic, white:civil}",1,civil,1,civil,2,civil,1,civil,1,civil,2,toxic
"""My Grammy never stops talking. She will talk to you for an hour straight with only the """"mhmm"""" responses n give no fucks.""",0.3333333333333333,politics,"{far_left:civil, left:civil, right:toxic}",1,civil,1,civil,2,civil,1,civil,1,civil,1,civil
"#feminists disagree, for a generation that grew up with the whisper song, get low, Buble butt & bitches aint shit... We've come along way",0.5,politics,"{far_left:civil, left:civil, right:toxic}",1,civil,2,civil,3,civil,2,civil,2,civil,3,toxic
"British native youth have completely given in to nigger culture, music and customs and constantly encourage miscegenation. In fact they are already starting to talk like the blacks. They need guidance thats for sure",0.2,politics,"{far_left:toxic, left:toxic, far_right:toxic}",5,toxic,5,toxic,5,toxic,5,toxic,5,toxic,5,toxic
"Exactly, not only that but BLM has been talking about white privilege for awhile now, yet it's the white privilege which is attracting them to our woman and our own woman to whites. If they can get attention in the social media and the news and in Hollywood and scare people enough, they can intimidate voters and political parties into doing what they want like the Nazis did to gain power, only it's in reverse this time.",0.2,politics,"{far_left:toxic, left:toxic, center:toxic, far_right:civil}",5,toxic,4,toxic,4,toxic,3,toxic,5,toxic,4,toxic
"I always hated visiting Nig York, but if I'm ever forced to I'll be sure to pack all my Confederate clothes and flags and to dance around Central Park! ( I may need a little protection)",0.2,politics,"{left:toxic, center:toxic, far_right:toxic}",5,toxic,5,toxic,5,toxic,4,toxic,5,toxic,4,toxic
"I mean, I dont care if all the gays are infected to the nines. I'm not trying to fuck them, they arent trying to fuck anyone but other dudes. Just making doctors rich raw dogging their twink boys.Who cares what they got or do, its an insular culture anyway.

",0.5,politics,"{left:toxic, center:toxic, right:toxic, far_right:civil}",5,toxic,3,civil,5,toxic,5,toxic,5,toxic,5,toxic
I'm too broke to buy anything angry... Hot heads ain't sexy. Calling names ain't sexy.. How would a queen address problems? Not wit anger,0.2,politics,"{far_left:civil, left:civil, center:toxic, right:civil}",2,civil,3,civil,1,civil,1,civil,1,civil,1,civil
"I've been to Italy a few times, and only saw two niggers in Venice.... some old dudes who were missing nearly all their teeth.. . I just don't go back to Venice.. problem solved.",0.2,politics,"{left:toxic, center:toxic, right:toxic}",5,toxic,3,civil,5,toxic,5,toxic,5,toxic,5,toxic
Our economy is in the fucking dark and all black people care about is black lives matter,0.3333333333333333,politics,"{far_left:toxic, left:toxic, center:toxic, right:civil}",4,toxic,3,civil,4,toxic,5,toxic,4,toxic,4,toxic
"Rick the dick is a complete prick! Whenever he appears or picks up the camera to say somethingI want to hit my head against the wall. Why do the husbands always think they can get involved in the wives channels?! Bore off mate, go to work!",0.25,politics,"{far_left:toxic, left:toxic, center:civil, right:toxic}",3,civil,3,civil,3,toxic,2,civil,3,toxic,3,toxic
So can we just stop saying there is no racism in this place. It's a racist country controlled by racist white people...period. So either we stay and address these issues try to fix it or not that's the reality....even they admit it...NIGGERS DONT COUNT.(their words not mine) thanks ROBERTS!,0.3333333333333333,politics,"{far_left:toxic, left:toxic, center:civil, right:toxic}",5,toxic,3,civil,5,toxic,5,toxic,5,toxic,4,toxic
"They say that they ""ride for my motherfuckin' niggas"". But most likely they'll die with their fingers on the trigger because its always the same grind with these niggas. And they don't go in unless they with my niggas",0.5,politics,"{left:toxic, center:civil, right:toxic}",5,toxic,3,civil,4,toxic,4,toxic,5,toxic,4,toxic
"Unfortunately, Black people's behavior demonstrates they are disproportionately corrupt.",0.25,politics,"{far_left:toxic, left:toxic, center:toxic, right:toxic, far_right:civil}",4,toxic,3,civil,4,toxic,5,toxic,4,toxic,5,toxic
We horny niggas matter too!!,0.3333333333333333,politics,"{left:toxic, center:civil, far_right:civil}",5,toxic,3,civil,3,toxic,3,toxic,2,civil,4,toxic
Women are not fucking inferior to men,0.25,politics,"{left:civil, center:civil, far_right:toxic}",2,civil,3,civil,1,civil,1,civil,1,civil,2,civil
bad news in the air.... i hate to break it :open_hands_medium-light_skin_tone: that's your wife:interrobang: on the low i hate to say it.... that bitch BASIC:bangbang:- @iitsAD,1.0,politics,"{far_left:toxic, left:toxic, center:toxic, right:civil}",4,toxic,5,toxic,4,toxic,5,toxic,5,toxic,4,toxic
doesnt matter if straights r oppressed or not sayin u hate all of them even if you dont mean it is as bad as homophobes sayin they hate gays,0.25,politics,"{far_left:civil, left:civil, center:toxic, right:civil}",3,civil,2,civil,3,toxic,2,civil,3,toxic,1,civil
fuck black culture and its shitty ass values,0.2,politics,"{far_left:toxic, left:toxic, center:toxic, far_right:civil}",5,toxic,5,toxic,5,toxic,5,toxic,5,toxic,5,toxic
"i don't care what people say, blacks have ugly eyelashes!",0.3333333333333333,politics,"{far_left:toxic, left:toxic, center:toxic, far_right:civil}",5,toxic,5,toxic,5,toxic,5,toxic,5,toxic,4,toxic
in this park we do not tolerate blacks,0.5,politics,"{left:toxic, center:toxic, right:toxic, far_right:toxic}",5,toxic,5,toxic,5,toxic,5,toxic,5,toxic,5,toxic
"""""""We gon' sit on an airplane~ gon' sit on airplane~"""" Sings happily on the way to the airport with @_LanceHunter_.""",0.2,traditionalism,"{'low': 'civil', 'high': 'civil'}",1,civil,1,civil,1,civil,1,civil,2,civil,1,civil
""":joy::joy::joy:. """"@Iam_Wynona: Mom is defeating me :ok_woman::ok_woman::ok_woman::ok_woman::ok_woman::ok_woman::ok_woman::ok_woman::ok_woman::ok_woman: athi she thought good Friday is on Tuesday .. Njani? How? Idk man!!! I'm confused""""""",0.3333333333333333,traditionalism,{'high': 'civil'},1,civil,1,civil,1,civil,1,civil,5,toxic,1,civil
"""My Grammy never stops talking. She will talk to you for an hour straight with only the """"mhmm"""" responses n give no fucks.""",0.3333333333333333,traditionalism,{'high': 'civil'},1,civil,1,civil,1,civil,1,civil,3,civil,2,toxic
"""i really hate giving advice bc mfs be like """" u act like u wasn't dumb over a nigga"""" bitch when I was 14 not 24. that's 10 yr difference""",0.5,traditionalism,{'high': 'toxic'},2,civil,4,toxic,2,toxic,3,toxic,3,civil,3,toxic
Anti-Slavery International should be destroyed. We need that negro free labour to function.,0.2,traditionalism,{'high': 'toxic'},5,toxic,5,toxic,5,toxic,5,toxic,3,civil,5,toxic
BLM is targeting Jewish people. Now apart from retarded monkeys they are also antisemitic!,0.2,traditionalism,{'high': 'toxic'},5,toxic,5,toxic,5,toxic,5,toxic,5,toxic,5,toxic
"British native youth have completely given in to nigger culture, music and customs and constantly encourage miscegenation. In fact they are already starting to talk like the blacks. They need guidance thats for sure",0.2,traditionalism,{'low': 'toxic'},5,toxic,5,toxic,5,toxic,5,toxic,5,toxic,5,toxic
CHECK THESE LYRICS TO AN UNNAMED SONG. TUNE OUT THAT NIGGA MUSIC,0.25,traditionalism,"{'low': 'toxic', 'high': 'toxic'}",5,toxic,5,toxic,5,toxic,5,toxic,5,toxic,4,toxic
"Edit: this place is truly my home, I can just comment ""fags"" and it gets upvotes its great",0.25,traditionalism,{'high': 'toxic'},5,toxic,5,toxic,5,toxic,5,toxic,5,toxic,4,toxic
Every police officer is a resentful son of a bitch with a lot of power,0.6666666666666666,traditionalism,"{'low': 'toxic', 'high': 'toxic'}",4,toxic,4,toxic,3,toxic,3,toxic,3,civil,3,toxic
"Exactly, not only that but BLM has been talking about white privilege for awhile now, yet it's the white privilege which is attracting them to our woman and our own woman to whites. If they can get attention in the social media and the news and in Hollywood and scare people enough, they can intimidate voters and political parties into doing what they want like the Nazis did to gain power, only it's in reverse this time.",0.2,traditionalism,{'high': 'toxic'},5,toxic,5,toxic,3,toxic,4,toxic,5,toxic,4,toxic
Fuck! I forgot my umbrella and it's pouring outside!,0.2,traditionalism,"{'low': 'civil', 'high': 'civil'}",1,civil,1,civil,3,toxic,1,civil,1,civil,2,civil
Fucking around is what these jawas do best.,0.5,traditionalism,"{'low': 'civil', 'high': 'toxic'}",5,toxic,1,civil,3,toxic,3,toxic,2,civil,3,toxic
Hate when you go on insta news feed n see women post pics of a 3D pregnancy scan!!! The pics look scary as hell :flushed:don't post it :weary::weary::weary:,0.2,traditionalism,{'high': 'civil'},2,civil,1,civil,2,civil,1,civil,3,civil,1,civil
"I always hated visiting Nig York, but if I'm ever forced to I'll be sure to pack all my Confederate clothes and flags and to dance around Central Park! ( I may need a little protection)",0.2,traditionalism,"{'low': 'toxic', 'high': 'toxic'}",5,toxic,5,toxic,5,toxic,4,toxic,5,toxic,5,toxic
I am a nigger,0.25,traditionalism,"{'low': 'toxic', 'high': 'toxic'}",5,toxic,5,toxic,5,toxic,5,toxic,5,toxic,5,toxic
I cant stand that Jamie all through this not 1 person has mentioned the bird hes with get ova it leave @dan_edgar1 alone. Ur ex bird cheated,0.25,traditionalism,"{'low': 'civil', 'high': 'civil'}",2,civil,4,toxic,2,civil,2,civil,4,toxic,2,toxic
I do not dislike vegetables just the majority of them,0.2,traditionalism,{'high': 'civil'},1,civil,1,civil,1,civil,1,civil,1,civil,1,civil
I feel autistic so *utmost also fuck you and that ginger fag from minnesota,0.3333333333333333,traditionalism,"{'low': 'toxic', 'high': 'toxic'}",5,toxic,5,toxic,5,toxic,5,toxic,5,toxic,4,toxic
"I knew of ""burn a fag"", any time I've heard of using the word ""bum"" is when you're getting a smoke from someone else.",0.3333333333333333,traditionalism,"{'low': 'civil', 'high': 'toxic'}",2,civil,1,civil,5,toxic,2,civil,3,toxic,3,toxic
"I mean, I dont care if all the gays are infected to the nines. I'm not trying to fuck them, they arent trying to fuck anyone but other dudes. Just making doctors rich raw dogging their twink boys.Who cares what they got or do, its an insular culture anyway.

",0.5,traditionalism,"{'low': 'toxic', 'high': 'toxic'}",5,toxic,5,toxic,5,toxic,4,toxic,5,toxic,5,toxic
"I really hate the libtard freaks that coddle this garbage. The way things are going...the future looks to be a distinctly unpalatable one. I thank fuck I'm forty-seven and didn't have kids. The inner cities of Britain have become incrementally worse in the last 20 years. Years ago, you never saw any niggers. If you did, it would be on its own. Now they're ubiquitous, sadly. What's Sydney like for niggers? Does it have a blend of different niggers like London?",0.2,traditionalism,"{'low': 'toxic', 'high': 'toxic'}",5,toxic,5,toxic,5,toxic,5,toxic,5,toxic,5,toxic
I'll bring the chainsaw to destroy this sheikh's face,0.25,traditionalism,"{'low': 'civil', 'high': 'toxic'}",5,toxic,5,toxic,4,toxic,5,toxic,5,toxic,5,toxic
"If White men, DO NOT STOP carrying on their symbiotic relationship with the parasitic kike, we are doomed. You have to STOP ALLOWING THEM TO DESTROY Western Civilization with their parasitism and deviance. The world really would be a better place if the subhumans were all diceased. Even the honest subhumans cannot deny that all they do is destroy, devour and fuck uncontrollably",0.2,traditionalism,{'high': 'toxic'},5,toxic,5,toxic,5,toxic,5,toxic,5,toxic,5,toxic
"Lol watch out nigga, I'm going to find you and kill you and all your family.",0.2,traditionalism,{'high': 'toxic'},5,toxic,5,toxic,5,toxic,5,toxic,5,toxic,5,toxic
Mop your floors you dirty bitch. Also it's going to be well minging with those dogs,0.25,traditionalism,{'high': 'toxic'},4,toxic,5,toxic,5,toxic,5,toxic,5,toxic,4,toxic
Pls Never forget that Jews did 9/11.,0.2,traditionalism,"{'low': 'toxic', 'high': 'toxic'}",5,toxic,5,toxic,5,toxic,5,toxic,5,toxic,5,toxic
ReMeMb3r!!! aS lOnG aS y0U sAY nO SwIRls iTs fIn3,0.2,traditionalism,"{'low': 'civil', 'high': 'civil'}",2,civil,5,toxic,3,toxic,3,toxic,3,toxic,3,toxic
Sis don't assume I'm talking about yo nigga and get in yo feelings .. Yo nigga not the only one on my line :joy:,0.5,traditionalism,"{'low': 'toxic', 'high': 'toxic'}",3,toxic,4,toxic,3,toxic,3,toxic,2,civil,2,toxic
Some of y'all lives don't even be bad..y'all jus either ungrateful or just don't know how to put things in perspective,0.2,traditionalism,"{'low': 'toxic', 'high': 'civil'}",2,civil,1,civil,2,civil,1,civil,3,toxic,1,civil
Sometimes I'll cut a jawn off just for being so damn stupid,0.5,traditionalism,"{'low': 'civil', 'high': 'toxic'}",3,toxic,4,toxic,3,toxic,3,toxic,5,toxic,3,toxic
"Wait, wait, wait, a fucking minute! Did this silly bitch really just try to be ""sexy"" doing ASL sign language?! What the fuck is wrong her?! Nothing about disabled is sexy",0.3333333333333333,traditionalism,"{'low': 'toxic', 'high': 'toxic'}",4,toxic,5,toxic,5,toxic,5,toxic,5,toxic,5,toxic
Well I do it because I like thinking up cool-sounding and funny names because creating clever things things is the sort of thing that happens when you've got a BIG OL' MOTHERFUCKING JEW BRAIN like me !,0.5,traditionalism,"{'low': 'toxic', 'high': 'civil'}",5,toxic,5,toxic,4,toxic,2,civil,2,civil,4,toxic
Whole Moyes thing got blown out of proportion but tbf a wanted him to fined and sacked cos he's an awful manager,0.3333333333333333,traditionalism,"{'low': 'civil', 'high': 'civil'}",2,civil,1,civil,2,civil,1,civil,1,civil,1,civil
Why does no darkie know how to flush a toilet after they've had a shit? DISGUSTANG!,0.2,traditionalism,"{'low': 'toxic', 'high': 'toxic'}",5,toxic,5,toxic,5,toxic,5,toxic,5,toxic,5,toxic
Why don't Max just stay in the kitchen?,0.25,traditionalism,{'high': 'civil'},3,toxic,2,civil,4,toxic,3,toxic,5,toxic,4,toxic
Women are not fucking inferior to men,0.25,traditionalism,"{'low': 'civil', 'high': 'civil'}",1,civil,5,toxic,1,civil,1,civil,1,civil,2,civil
Women's suffrage was started by jews. As is every social justice and civil rights platform.,1.0,traditionalism,{'high': 'civil'},4,toxic,5,toxic,5,toxic,5,toxic,5,toxic,5,toxic
You must know that anybody who comes up against you they have a God to deal with - Minister #TorrieWhite #prayer #theonething,0.2,traditionalism,{'high': 'civil'},1,civil,1,civil,1,civil,1,civil,2,civil,1,civil
Zionists are despicable,0.5,traditionalism,"{'low': 'tie', 'high': 'toxic'}",4,toxic,5,toxic,3,toxic,4,toxic,5,toxic,4,toxic
all cats do is shit and lick their balls. Just like some niggers I know.,0.25,traditionalism,"{'low': 'toxic', 'high': 'toxic'}",5,toxic,5,toxic,5,toxic,5,toxic,5,toxic,5,toxic
bad news in the air.... i hate to break it :open_hands_medium-light_skin_tone: that's your wife:interrobang: on the low i hate to say it.... that bitch BASIC:bangbang:- @iitsAD,1.0,traditionalism,{'high': 'toxic'},3,toxic,5,toxic,4,toxic,4,toxic,5,toxic,4,toxic
blacks love to sell drugs,0.2,traditionalism,"{'low': 'toxic', 'high': 'toxic'}",4,toxic,5,toxic,4,toxic,4,toxic,5,toxic,4,toxic
fags shouldn't be allowed to adopt,0.25,traditionalism,"{'low': 'toxic', 'high': 'toxic'}",5,toxic,5,toxic,4,toxic,5,toxic,5,toxic,5,toxic
fuck black culture and its shitty ass values,0.2,traditionalism,{'high': 'toxic'},5,toxic,5,toxic,4,toxic,5,toxic,5,toxic,5,toxic
"fuck you guys, I hate any nigga and I hate everything that came with em too",0.2,traditionalism,{'high': 'toxic'},5,toxic,3,civil,5,toxic,5,toxic,5,toxic,5,toxic
hey Shut the fuck up you bitch ass git,0.2,traditionalism,{'high': 'toxic'},4,toxic,3,civil,5,toxic,5,toxic,5,toxic,4,toxic
"i don't care what people say, blacks have ugly eyelashes!",0.3333333333333333,traditionalism,{'high': 'toxic'},4,toxic,3,civil,4,toxic,5,toxic,5,toxic,4,toxic
i want 2 go 2 the kitchen and snatch some donuts from d fridge but im afraid i might wake them im so gutom n its 1 am ya feel me hekkkkkk,0.2,traditionalism,"{'low': 'civil', 'high': 'civil'}",1,civil,3,civil,1,civil,1,civil,2,civil,1,civil
in this park we do not tolerate blacks,0.5,traditionalism,"{'low': 'toxic', 'high': 'toxic'}",5,toxic,3,civil,5,toxic,5,toxic,5,toxic,5,toxic
"it's simple - blacks chimp out and get free shit, whites dont chimp out and get fucked in the ass. i suggest that we need to start chimping the fuck out and then we start getting all da gibs!",0.2,traditionalism,{'high': 'toxic'},5,toxic,3,civil,5,toxic,5,toxic,5,toxic,5,toxic
"its funny how few only want ""traditionalism"" only when it benefits them",0.3333333333333333,traditionalism,{'high': 'civil'},1,civil,3,civil,2,civil,1,civil,2,civil,1,civil
let me tell you hey fuck you who ever made this fucking video atleast she is reading the quran ur making fun of her you satan go to fucking hell nigga your a terrorist,0.25,traditionalism,{'high': 'toxic'},5,toxic,3,civil,5,toxic,5,toxic,5,toxic,5,toxic
"new slogan: Know niggers, no peace. No niggers, know peace",0.2,traditionalism,{'high': 'toxic'},5,toxic,3,civil,5,toxic,5,toxic,5,toxic,5,toxic
"they allow niggers to kill whites, I bet not a single nigger can operate equipment",0.2,traditionalism,"{'low': 'toxic', 'high': 'toxic'}",5,toxic,3,civil,5,toxic,5,toxic,5,toxic,5,toxic
worst part about getting highlights is sitting under the damn heat :dizzy_face:,0.2,traditionalism,"{'low': 'civil', 'high': 'civil'}",1,civil,2,civil,1,civil,1,civil,1,civil,1,civil
yids are not as honest as the rest of us,0.3333333333333333,traditionalism,"{'low': 'toxic', 'high': 'toxic'}",3,toxic,5,toxic,5,toxic,5,toxic,5,toxic,5,toxic
"'We ll have two diff ways after about 2 yrs'-she whispered. Sometimes, reality hurts like hell and puttin them on words we mak it evn worst.",0.2,age,"{above30:civil, below30:toxic}",2,civil,2,civil,1,civil,1,civil,3,civil,2,civil
A kneegrow is a kneegrow no matter which way you look at it.,0.3333333333333333,age,"{above30:toxic, below30:toxic}",4,toxic,5,toxic,5,toxic,5,toxic,5,toxic,5,toxic
"Hate when somebody act fake drunk then want you too babysit them , hell naw cya",0.3333333333333333,age,"{above30:civil, below30:toxic}",2,civil,2,civil,2,civil,1,civil,4,toxic,2,civil
I feel autistic so *utmost also fuck you and that ginger fag from minnesota,0.3333333333333333,age,"{above30:toxic, below30:toxic}",5,toxic,5,toxic,5,toxic,5,toxic,5,toxic,5,toxic
"So true, fucking pricks called my disabled brother a retard",0.3333333333333333,age,"{above30:civil, below30:toxic}",4,toxic,5,toxic,5,toxic,5,toxic,5,toxic,4,toxic
"Surely they to themselves are foes, who 'gainst My Words Rebel: And they who My Instructions hate, Do Count The Road To Hell. Selah..._",0.2,age,"{above30:civil, below30:toxic}",2,civil,1,civil,1,civil,1,civil,2,civil,1,civil
"They say that they ""ride for my motherfuckin' niggas"". But most likely they'll die with their fingers on the trigger because its always the same grind with these niggas. And they don't go in unless they with my niggas",0.5,age,"{above30:toxic, below30:toxic}",5,toxic,4,toxic,4,toxic,3,toxic,5,toxic,4,toxic
Troons are worse than animals,0.2,age,"{above30:toxic, below30:toxic}",5,toxic,5,toxic,5,toxic,5,toxic,5,toxic,5,toxic
ain't no problem in cutting ppl off. save that space for somebody who'll benefit from u and vice versa,0.25,age,"{above30:civil, below30:toxic}",3,toxic,2,civil,1,civil,1,civil,2,civil,1,civil
"you've got to be fucking joking, my room has let me down",0.3333333333333333,age,"{above30:civil, below30:toxic}",2,toxic,4,toxic,3,toxic,4,toxic,3,toxic,3,toxic
