batch_number,tweet,original_text,score,label
3,29,We horny niggas matter too!!,4,toxic
3,30,Women are not fucking inferior to men,2,civil
4,31,bad news in the air.... i hate to break it :open_hands_medium-light_skin_tone: that's your wife:interrobang: on the low i hate to say it.... that bitch BASIC:bangbang:- @iitsAD,4,toxic
4,32,doesnt matter if straights r oppressed or not sayin u hate all of them even if you dont mean it is as bad as homophobes sayin they hate gays,1,civil
4,33,fuck black culture and its shitty ass values,5,toxic
4,34,"i don't care what people say, blacks have ugly eyelashes!",4,toxic
4,35,in this park we do not tolerate blacks,5,toxic
4,36,"We gon' sit on an airplane~ gon' sit on airplane~"""" Sings happily on the way to the airport with @_LanceHunter_.",1,civil
4,37,":joy::joy::joy:. """"@Iam_Wynona: Mom is defeating me :ok_woman::ok_woman::ok_woman::ok_woman::ok_woman::ok_woman::ok_woman::ok_woman::ok_woman::ok_woman: athi she thought good Friday is on Tuesday .. Njani? How? Idk man!!! I'm confused",1,civil
4,38,"My Grammy never stops talking. She will talk to you for an hour straight with only the """"mhmm"""" responses n give no fucks.",2,toxic
4,39,"i really hate giving advice bc mfs be like """" u act like u wasn't dumb over a nigga"""" bitch when I was 14 not 24. that's 10 yr difference",3,toxic
4,40,Anti-Slavery International should be destroyed. We need that negro free labour to function.,5,toxic
5,41,BLM is targeting Jewish people. Now apart from retarded monkeys they are also antisemitic!,5,toxic
5,42,"British native youth have completely given in to nigger culture, music and customs and constantly encourage miscegenation. In fact they are already starting to talk like the blacks. They need guidance thats for sure",5,toxic
5,43,CHECK THESE LYRICS TO AN UNNAMED SONG. TUNE OUT THAT NIGGA MUSIC,4,toxic
5,44,"Edit: this place is truly my home, I can just comment ""fags"" and it gets upvotes its great",4,toxic
5,45,Every police officer is a resentful son of a bitch with a lot of power,3,toxic
5,46,"Exactly, not only that but BLM has been talking about white privilege for awhile now, yet it's the white privilege which is attracting them to our woman and our own woman to whites. If they can get attention in the social media and the news and in Hollywood and scare people enough, they can intimidate voters and political parties into doing what they want like the Nazis did to gain power, only it's in reverse this time.",4,toxic
5,47,Fuck! I forgot my umbrella and it's pouring outside!,2,civil
5,48,Fucking around is what these jawas do best.,3,toxic
5,49,Hate when you go on insta news feed n see women post pics of a 3D pregnancy scan!!! The pics look scary as hell :flushed:don't post it :weary::weary::weary:,1,civil
5,50,"I always hated visiting Nig York, but if I'm ever forced to I'll be sure to pack all my Confederate clothes and flags and to dance around Central Park! ( I may need a little protection)",5,toxic
6,51,I am a nigger,5,toxic
6,52,I cant stand that Jamie all through this not 1 person has mentioned the bird hes with get ova it leave @dan_edgar1 alone. Ur ex bird cheated,2,toxic
6,53,I do not dislike vegetables just the majority of them,1,civil
6,54,I feel autistic so *utmost also fuck you and that ginger fag from minnesota,4,toxic
6,55,"I knew of ""burn a fag"", any time I've heard of using the word ""bum"" is when you're getting a smoke from someone else.",3,toxic
6,56,"I mean, I dont care if all the gays are infected to the nines. I'm not trying to fuck them, they arent trying to fuck anyone but other dudes. Just making doctors rich raw dogging their twink boys.Who cares what they got or do, its an insular culture anyway.",5,toxic
6,57,"I really hate the libtard freaks that coddle this garbage. The way things are going...the future looks to be a distinctly unpalatable one. I thank fuck I'm forty-seven and didn't have kids. The inner cities of Britain have become incrementally worse in the last 20 years. Years ago, you never saw any niggers. If you did, it would be on its own. Now they're ubiquitous, sadly. What's Sydney like for niggers? Does it have a blend of different niggers like London?",5,toxic
6,58,I'll bring the chainsaw to destroy this sheikh's face,5,toxic
6,59,"If White men, DO NOT STOP carrying on their symbiotic relationship with the parasitic kike, we are doomed. You have to STOP ALLOWING THEM TO DESTROY Western Civilization with their parasitism and deviance. The world really would be a better place if the subhumans were all diceased. Even the honest subhumans cannot deny that all they do is destroy, devour and fuck uncontrollably",5,toxic
6,60,"Lol watch out nigga, I'm going to find you and kill you and all your family.",5,toxic
7,61,Mop your floors you dirty bitch. Also it's going to be well minging with those dogs,4,toxic
7,62,Pls Never forget that Jews did 9/11.,5,toxic
7,63,ReMeMb3r!!! aS lOnG aS y0U sAY nO SwIRls iTs fIn3,3,toxic
7,64,Sis don't assume I'm talking about yo nigga and get in yo feelings .. Yo nigga not the only one on my line :joy:,2,toxic
7,65,Some of y'all lives don't even be bad..y'all jus either ungrateful or just don't know how to put things in perspective,1,civil
7,66,Sometimes I'll cut a jawn off just for being so damn stupid,3,toxic
7,67,"Wait, wait, wait, a fucking minute! Did this silly bitch really just try to be ""sexy"" doing ASL sign language?! What the fuck is wrong her?! Nothing about disabled is sexy",5,toxic
7,68,Well I do it because I like thinking up cool-sounding and funny names because creating clever things things is the sort of thing that happens when you've got a BIG OL' MOTHERFUCKING JEW BRAIN like me !,4,toxic
7,69,Whole Moyes thing got blown out of proportion but tbf a wanted him to fined and sacked cos he's an awful manager,1,civil
7,70,Why does no darkie know how to flush a toilet after they've had a shit? DISGUSTANG!,5,toxic
8,71,Why don't Max just stay in the kitchen?,4,toxic
8,72,Women are not fucking inferior to men,2,civil
8,73,Women's suffrage was started by jews. As is every social justice and civil rights platform.,5,toxic
8,74,You must know that anybody who comes up against you they have a God to deal with - Minister #TorrieWhite #prayer #theonething,1,civil
8,75,Zionists are despicable,4,toxic
8,76,all cats do is shit and lick their balls. Just like some niggers I know.,5,toxic
8,77,bad news in the air.... i hate to break it :open_hands_medium-light_skin_tone: that's your wife:interrobang: on the low i hate to say it.... that bitch BASIC:bangbang:- @iitsAD,4,toxic
8,78,blacks love to sell drugs,4,toxic
8,79,fags shouldn't be allowed to adopt,5,toxic
8,80,fuck black culture and its shitty ass values,5,toxic
9,81,"fuck you guys, I hate any nigga and I hate everything that came with em too",5,toxic
9,82,hey Shut the fuck up you bitch ass git,4,toxic
9,83,"i don't care what people say, blacks have ugly eyelashes!",4,toxic
9,84,i want 2 go 2 the kitchen and snatch some donuts from d fridge but im afraid i might wake them im so gutom n its 1 am ya feel me hekkkkkk,1,civil
9,85,in this park we do not tolerate blacks,5,toxic
9,86,"it's simple - blacks chimp out and get free shit, whites dont chimp out and get fucked in the ass. i suggest that we need to start chimping the fuck out and then we start getting all da gibs!",5,toxic
9,87,"its funny how few only want ""traditionalism"" only when it benefits them",1,civil
9,88,let me tell you hey fuck you who ever made this fucking video atleast she is reading the quran ur making fun of her you satan go to fucking hell nigga your a terrorist,5,toxic
9,89,"new slogan: Know niggers, no peace. No niggers, know peace",5,toxic
9,90,"they allow niggers to kill whites, I bet not a single nigger can operate equipment",5,toxic
10,91,worst part about getting highlights is sitting under the damn heat :dizzy_face:,1,civil
10,92,yids are not as honest as the rest of us,5,toxic
10,93,"We ll have two diff ways after about 2 yrs'-she whispered. Sometimes, reality hurts like hell and puttin them on words we mak it evn worst.",2,civil
10,94,A kneegrow is a kneegrow no matter which way you look at it.,5,toxic
10,95,"Hate when somebody act fake drunk then want you too babysit them , hell naw cya",2,civil
10,96,I feel autistic so *utmost also fuck you and that ginger fag from minnesota,5,toxic
10,97,"So true, fucking pricks called my disabled brother a retard",4,toxic
10,98,"Surely they to themselves are foes, who 'gainst My Words Rebel: And they who My Instructions hate, Do Count The Road To Hell. Selah..._",1,civil
10,99,"They say that they ""ride for my motherfuckin' niggas"". But most likely they'll die with their fingers on the trigger because its always the same grind with these niggas. And they don't go in unless they with my niggas",4,toxic
10,100,Troons are worse than animals,5,toxic
11,101,ain't no problem in cutting ppl off. save that space for somebody who'll benefit from u and vice versa,1,civil
11,102,"you've got to be fucking joking, my room has let me down",3,toxic
